사례ID,실행 연월,기관,자금명,실행 금액(만원),금리(실행 시점),상환 조건,지역(시도),업종,사업 형태,업력(년),신용점수 구간(KCB·NICE 중 낮은 쪽),연매출 구간,폐업 이력,세금 체납 이력,기존 정책자금 보유,동시 진행 자금,상담 접수→정산(일),메모,실행 전 비용(원),근거
E1,2026-08,소상공인시장진흥공단,재도전특별자금(IV),5300,연 4.94%,"거치식 원금균등분할, 납입주기 1개월",전북,유통업(온라인 도소매·이커머스),개인,0.3,800점대,,,,,,,,0,기관 안내문·약정 캡처
2026-16,2026-08,지역신용보증재단,보증부 대출,1000,,,경기,서비스업,개인,0.2,900점대,3천만원 미만,있음,있음,있음,,104,,0,CRM 정산 기록
2026-15,2026-08,소상공인시장진흥공단,재도전특별자금(창업),3100,,"분할상환, 거치 24개월",경남,수산업,개인,2.2,700점대,5천만~1억원,있음,없음,있음,,29,,0,CRM 정산 기록
2026-14,2026-08,소상공인시장진흥공단,재도전특별자금(창업),2800,,"분할상환, 거치 12개월",경기,소매업,개인,2.9,700점대,3억원 이상,있음,없음,있음,재단,94,,0,CRM 정산 기록
2026-13,2026-08,대구신용보증재단,보증부 대출 (경기도 지자체 소상공인 이차보전 특례보증 상품),2000,,"분할상환, 거치 24개월",대구,서비스업,개인,1.1,700점대,3천만원 미만,없음,없음,없음,,66,,0,CRM 정산 기록
2026-12,2026-08,경남신용보증재단,보증부 대출,1000,,"분할상환, 거치 24개월",경남,도소매업,개인,2.9,700점대,5천만~1억원,없음,없음,있음,,,,0,CRM 정산 기록
2026-11,2026-08,소상공인시장진흥공단,소상공인 정책자금 신용취약소상공인자금,3000,,"분할상환, 거치 24개월",경기,서비스업,개인,1.2,600점대,5천만~1억원,없음,있음,없음,재단,321,,0,CRM 정산 기록
2026-10,2026-08,인천신용보증재단,인천 소상공인 특례보증 대출,4000,,"분할상환, 거치 12개월",인천,건설업,개인,,800점대,1억~3억원,있음,있음,없음,중진공,84,,0,기관 안내문·약정 캡처
2026-09,2026-08,지역신용보증재단,보증부 대출,3000,,"분할상환, 거치 12개월",경남,교육서비스업,개인,15.2,600점대,5천만~1억원,없음,있음,없음,,45,,0,기관 안내문·약정 캡처
2026-08,2026-07,경기신용보증재단,보증부 대출,3000,,"분할상환, 거치 24개월",경기,서비스업,개인,,700점대,1억~3억원,있음,있음,있음,,148,,0,CRM 정산 기록
2026-07,2026-07,소상공인시장진흥공단,신용취약소상공인자금 (소상공인 정책자금 직접대출),2000,연 5.25%,"거치식 원금균등분할, 만기 2031-07-22",충남,제조업,개인,5.2,600점대,1억~3억원,있음,있음,없음,재단,505,,0,기관 안내문·약정 캡처
2026-06,2026-07,지역신용보증재단,보증부 대출 (소상공인 특례보증),2000,,"분할상환, 거치 24개월",경기,뷰티업,개인,0.3,700점대,3천만원 미만,없음,없음,없음,,11,,0,CRM 정산 기록
2026-05,2026-07,대구신용보증재단,보증부 대출 (소상공인 정책자금 대리대출),3000,,"분할상환, 거치 24개월",대구,요식업,개인,3.3,600점대,3억원 이상,있음,없음,있음,,16,,0,CRM 정산 기록
2026-04,2026-07,대전신용보증재단,보증부 대출,3000,,"분할상환, 거치 12개월",대전,도소매업,개인,0.9,800점대,1억~3억원,있음,없음,없음,재단,17,,0,CRM 정산 기록
E2,2026-06,소상공인시장진흥공단,신용취약소상공인자금,2000,연 4.84%,거치식 원금균등분할 (48개월),경남,유통(도소매),개인,1,600점대,,,,,,,,0,기관 안내문·약정 캡처
2026-03,2026-06,경북신용보증재단,보증부 대출,2000,,"분할상환, 거치 24개월",경북,요식업,개인,1.2,800점대,5천만~1억원,있음,없음,없음,재단,3,,0,기관 안내문·약정 캡처
2026-02,2026-06,경기신용보증재단,보증부 대출,1800,,"분할상환, 거치 12개월",경기,도소매업,개인,16.2,700점대,3억원 이상,없음,없음,없음,,37,,0,CRM 정산 기록
2026-01,2026-06,경기신용보증재단,보증부 대출,10000,,"분할상환, 거치 24개월",경기,,개인,0.4,900점대,3천~5천만원,없음,없음,없음,,21,,0,CRM 정산 기록
E5,2026-05,소상공인시장진흥공단,혁신성장촉진자금(운전),6000,연 3.84%,"거치식 원금균등분할, 납입주기 1개월",서울,도소매업,법인,1,700점대,,,,,,,,0,기관 안내문·약정 캡처
E4,2026-05,지역신용보증재단(충북),보증부 대출,5000,,"분할상환, 거치 24개월",충북,음식점업,개인,1,800점대,,,,,,,,0,기관 안내문·약정 캡처
E3,2026-05,소상공인시장진흥공단,소상공인 정책자금 (인천 제조업 특화자금),4000,,"분할상환, 거치 24개월",인천,요식업,개인,4,700점대,,,,,,,,0,기관 안내문·약정 캡처
E6,2026-04,부산신용보증재단,경기도 중소기업 육성자금 보증부 대출,10000,,보증서대출 이자만 납부 방식,부산,기술·제조,법인,5,900점대,,,,,,,,0,기관 안내문·약정 캡처
E7,2025-07,기술보증기금 + 소상공인시장진흥공단,"기보 보증부 대출 2억 9,000만 + 소진공 정책자금 3,000만 동시",32000,,보증서대출 이자만 납부 방식,울산,기술기업,법인,7,700점대,,,,,,,,0,기관 안내문·약정 캡처
E8,2025-02,기술보증기금,기보 보증부 대출 2억 (중진공 직접대출 후속),20000,,보증서대출 이자만 납부 방식,서울,광고업,법인,2,800점대,,,,,,,,0,기관 안내문·약정 캡처
