사례ID,실행 연월,기관,자금명,실행 금액(만원),금리,상환 조건,지역(시도),업종,사업 형태,업력(년),신용점수 구간,연매출 구간,폐업 이력,체납 이력,기존 정책자금,동시 진행 자금,소요일,한 줄 메모,증빙 파일,사이트 공개
2026-09,2026-08,지역신용보증재단,보증부 대출,3000,연 3.141%,"분할상환, 거치 12개월",경남,교육서비스업,개인,15.2,600점대,1억원 미만,없음,있음,없음,,45,,ev-2026-09-jaedan-3000.webp,Y
2026-10,2026-08,인천신용보증재단,인천 소상공인 특례보증 대출,4000,연 3.65%,"분할상환, 거치 12개월",인천,건설업,개인,3.1,800점대,3억원 미만,재창업,있음,없음,중진공,84,,ev-2026-10-jaedan-4000.webp,Y
2026-11,2026-08,소상공인시장진흥공단,소상공인 정책자금 신용취약소상공인자금,3000,연 4.14%,"분할상환, 거치 24개월",경기,서비스업,개인,1.2,600점대,5천만원 이상,없음,있음,없음,재단,321,,,Y
2026-12,2026-08,경남신용보증재단,보증부 대출,1000,연 3.53%,"분할상환, 거치 24개월",경남,도소매업,개인,2.9,700점대,5천만원 미만,없음,없음,있음,,37,,,Y
2026-13,2026-08,대구신용보증재단,보증부 대출 (대구시 지자체 소상공인 이차보전 특례보증 상품),2000,연 2.5%,"분할상환, 거치 24개월",대구,서비스업,개인,1.1,700점대,3천만원 미만,없음,없음,없음,,66,,,Y
2026-14,2026-08,소상공인시장진흥공단,재도전특별자금(창업),2800,연 4.94%,"분할상환, 거치 12개월",경기,소매업,개인,2.9,700점대,3억원 이상,재창업,없음,있음,재단,94,,,Y
2026-15,2026-08,소상공인시장진흥공단,재도전특별자금(창업),3100,연 4.94%,"분할상환, 거치 24개월",경남,수산업,개인,2.2,700점대,1억원 미만,재창업,없음,있음,,29,,,Y
2026-16,2026-08,서울신용보증재단,서울 소상공인 특례보증 보증부 대출,1000,연 2.8%,"분할상환, 거치 24개월",서울,서비스업,개인,0.2,900점대,3천만원 미만,재창업,있음,있음,,104,,,Y
E1,2026-08,소상공인시장진흥공단,재도전특별자금(IV),5300,연 4.94%,"거치식 원금균등분할, 납입주기 1개월",전북,유통업(온라인 도소매·이커머스),개인,0.3,800점대,4천만원 이상,없음,없음,있음,,28,,ev-E1-sojingong-jaedojeon-5300.webp,Y
2026-04,2026-07,대전신용보증재단,보증부 대출,3000,연 3.53%,"분할상환, 거치 12개월",대전,도소매업,개인,0.9,800점대,3억원 미만,재창업,없음,없음,재단,17,,,Y
2026-05,2026-07,대구신용보증재단,청년고용연계자금,3000,연 2.5%,"분할상환, 거치 24개월",대구,요식업,개인,3.3,600점대,3억원 이상,재창업,없음,있음,,16,,,Y
2026-06,2026-07,지역신용보증재단,보증부 대출 (소상공인 특례보증),2000,연 3.32%,"분할상환, 거치 24개월",경기,뷰티업,개인,0.3,700점대,3천만원 미만,없음,없음,없음,,11,,,Y
2026-07,2026-07,소상공인시장진흥공단,신용취약소상공인자금 (소상공인 정책자금 직접대출),2000,연 5.25%,"거치식 원금균등분할, 만기 2031-07-22",충남,제조업,개인,5.2,600점대,1억~3억원,재창업,있음,없음,재단,505,,ev-2026-07-sojingong-sinyongchwiyak-2000.webp,Y
2026-08,2026-07,경기신용보증재단,보증부 대출,3000,연 3.141%,"분할상환, 거치 24개월",경기,서비스업,개인,0.6,700점대,1억~3억원,재창업,있음,있음,,148,,,Y
2026-01,2026-06,경기신용보증재단,보증부 대출,10000,연 3.65%,"분할상환, 거치 24개월",경기,요식업,개인,0.4,900점대,5천만원 미만,없음,없음,없음,,21,,,Y
2026-02,2026-06,경기신용보증재단,보증부 대출,1800,연 4.14%,"분할상환, 거치 12개월",경기,도소매업,개인,16.2,700점대,3억원 이상,없음,없음,없음,,37,,,Y
2026-03,2026-06,경북신용보증재단,보증부 대출,2000,연 3.53%,"분할상환, 거치 24개월",경북,요식업,개인,1.2,800점대,1억원 미만,재창업,없음,없음,재단,3,,ev-2026-03-jaedan-2000.webp,Y
E2,2026-06,소상공인시장진흥공단,신용취약소상공인자금,2000,"연 4.84% (기준 3.44+가산 1.6−우대 0.2, 변동)",거치식 원금균등분할 (48개월),경남,유통(도소매),개인,1,600점대,2천만원 이상,없음,없음,없음,,41,,ev-E2-sojingong-sinyongchwiyak-2000.webp,Y
E3,2026-05,소상공인시장진흥공단,소상공인 정책자금 (인천 제조업 특화자금),4000,연 3.43%,"분할상환, 거치 24개월",인천,제조업,개인,4,700점대,1억원 미만,재창업,없음,없음,,28,,ev-E3-sojingong-4000.webp,Y
E4,2026-05,지역신용보증재단(충북),보증부 대출,5000,연 3.43%(충청북도 중소기업 육성자금),"분할상환, 거치 24개월",충북,음식점업,개인,1,800점대,8천만원 미만,재창업,없음,없음,,25,,ev-E4-chungbuk-jaedan-5000.webp,Y
E5,2026-05,소상공인시장진흥공단,혁신성장촉진자금(운전),6000,"연 3.84% (기준 3.44+가산 0.4−우대 0, 변동)","거치식 원금균등분할, 납입주기 1개월",서울,도소매업,법인,1,700점대,6천만원 미만,없음,없음,없음,,30,,ev-E5-sojingong-hyeoksin-6000.webp,Y
E6,2026-04,부산신용보증재단,부산시 중소기업 육성자금 보증부 대출,10000,연 3.14% (부산시이차보전 우대 -1.5%),보증서대출 이자만 납부 방식,부산,기술·제조,법인,5,900점대,3억원 이상,없음,없음,없음,,40,,ev-E6-jaedan-10000.webp,Y
E7,2025-07,기술보증기금 + 소상공인시장진흥공단,"기보 보증부 대출 2억 9,000만 + 소진공 정책자금 3,000만 동시",32000,2.8%(지자체 이차보전상품),보증서대출 이자만 납부 방식,울산,기술기업,법인,7,700점대,15억원 미만,없음,없음,없음,"기술보증기금, 소상공인 정책자금",60,,ev-E7-gibo-29000-sojingong-3000.webp,Y
E8,2025-02,서울 기술보증기금,기보 보증부 대출 2억 + 중진공 청년창업자금대출,20000,1.85%(문화콘텐츠진흥원 미디어 제작 이차보전 상품 금리감면 -2.0%),보증서대출 이자만 납부 방식,서울,광고업,법인,2,800점대,7억원 미만,없음,없음,없음,"기술보증기금,중진공",70,,ev-E8-gibo-20000.webp,Y
2026-01,2026-08,기술보증기금,기보 보증부 대출,18000,연 2.98%,보증서대출 이자만 납부 방식,서울,온라인 B2B 플랫폼,법인,11.6,900점대,10억~30억,없음,없음,없음,,30,,,
2026-02,2026-08,신용보증기금,신보 보증부 대출 (일반성장),22000,연 3.28%,보증서대출 이자만 납부 방식,강원,친환경 패키징 제조,법인,7.5,800점대,30억~50억,없음,없음,있음,,38,,,
2026-03,2026-08,신용보증기금,유망창업기업 Start-up 보증,10500,연 3.18%,보증서대출 이자만 납부 방식,부산,화장품 제조·수출,법인,6.5,800점대,5억~10억,재창업,없음,있음,,30,,,
2026-04,2026-08,경북신용보증재단,경북 소상공인 특례보증 대출,2000,연 2.57%,"분할상환, 거치 12개월",경북,건설·인테리어,개인,7.8,600점대,5천만원 미만,없음,없음,없음,,24,,,
2026-05,2026-08,신용보증기금,유망창업기업 Start-up 보증,17000,연 3.29%,보증서대출 이자만 납부 방식,경기,섬유·의류 제조업,법인,10.9,700점대,10억~30억,없음,없음,있음,,40,,,
2026-06,2026-08,소상공인시장진흥공단,재도전특별자금(창업),3000,연 4.97%,"분할상환, 거치 24개월",경기,전문 음식점업,개인,1.3,600점대,1억 미만,없음,없음,없음,,27,,,
E73,2026-08,소상공인시장진흥공단,혁신성장촉진자금(운전),3500,연 4.19%,거치식 원금균등분할(48개월),경기,생활용품 도소매,개인,0.9,600점대,5천만원 미만,없음,없음,없음,,37,,,
2026-08,2026-08,소상공인시장진흥공단,소공인특화자금,1000,연 5.01%,거치식 원금균등분할(48개월),충북,교육 서비스업,개인,3.2,800점대,1억~3억원,재창업,없음,없음,,43,,,
2026-09,2026-08,소상공인시장진흥공단,신용취약소상공인자금(소상공인 정책자금 직접대출),1000,연 4.69%,"분할상환, 거치 24개월",경남,식품 제조·가공업,개인,3.8,800점대,1억 미만,재창업,없음,없음,,24,,,
