자금ID,자금명,기관,카테고리,원장 키워드,대상 요약,한도,금리 방식,접수 상태,접수 시작일,접수 마감일,다음 회차 메모,공고 링크,최종 확인일,한 줄 메모,사이트 공개
sinyongchwiyak,신용취약소상공인자금,소상공인시장진흥공단,직접대출,신용취약,NICE 839점 이하,3000만원,연5.45%,회차,,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-29,신용점수가 낮은 소상공인을 위한 직접대출 트랙,Y
jaedojeon,재도전특별자금,소상공인시장진흥공단,직접대출,재도전,"재도전,신용회복,재창업",7000만원,연4.25%~5.45%,회차,,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-29,"폐업 후 재창업한 사업자,신용회복 신청 후 성싱상환자 전용 자금",Y
hyeoksin,혁신성장촉진자금,소상공인시장진흥공단,직접대출,혁신성장,"스마트기술,수출기업,혁신성장",2억원,연4.25%,회차,,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-29,성장 단계 소상공인의 운전·시설 자금,Y
cheongnyeon,청년고용연계자금,소상공인시장진흥공단,대리대출(보증 연계),청년고용연계,"청년창업자, 청년채용고용사업장",7000만원,연3.85%,회차,2026-10-06,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-29,청년 대표 또는 청년 고용 사업장 대상 — 재단 보증서 연계 실측 보유,Y
ilban-gyeongyeong,일반경영안정자금,소상공인시장진흥공단,대리대출(보증 연계),일반경영,,,연4.45%,회차,2026-10-06,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,업력·업종 폭이 넓은 소상공인 기본 운전자금 트랙,Y
jangaein,장애인기업지원자금,소상공인시장진흥공단,대리대출(보증 연계),장애인기업,,,연2.00%,회차,2026-10-06,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,장애인 대표(장애인기업) 사업장 대상,Y
gingeup,긴급경영안정자금,소상공인시장진흥공단,대리대출(보증 연계),긴급경영,,,,회차,2026-10-06,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,재해·위기 등 긴급 경영 애로 사업장 대상,Y
sogongin,소공인특화자금,소상공인시장진흥공단,대리대출(보증 연계),소공인특화,제조업 운영 기업,,연4.45%,회차,2026-01-15,접수 중·예산 소진시 마감,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,상시근로자 10인 미만 제조업(소공인) 전용,Y
daehwan,소상공인 대환대출,소상공인시장진흥공단,대리대출(보증 연계),대환대출,,,연4.50%,회차,2026-01-15,접수 중·예산 소진시 마감,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,고금리 사업자 대출을 정책자금으로 갈아타는 트랙,Y
ilsijeok,일시적경영애로자금,소상공인시장진흥공단,직접대출,일시적경영애로,,,,회차,2026-09-07,,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,매출 급감 등 일시적 경영 애로 사업장 대상,Y
ilsijeok-homeplus,일시적경영애로자금(홈플러스 피해 소상공인),소상공인시장진흥공단,직접대출,홈플러스,,,,회차,2026-07-15,접수 중·예산 소진시 마감,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,홈플러스 사태 피해 소상공인 전용 트랙,Y
matching,민간투자연계형매칭융자,소상공인시장진흥공단,직접대출,매칭융자,,,연4.25%,상시,2026-01-12,접수 중·예산 소진시 마감,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,민간 투자 유치와 연계해 매칭 지원하는 융자,Y
sangsaeng,상생성장지원자금,소상공인시장진흥공단,직접대출,상생성장,,,연4.25%,상시,2026-01-12,접수 중·예산 소진시 마감,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,상생성장 지원 트랙 — 세부 요건은 공고 기준,Y
hyeoksin-sahoe,혁신성장촉진자금(사회연대경제조직),소상공인시장진흥공단,직접대출,사회연대,,,,상시,2026-01-12,접수 중·예산 소진시 마감,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,사회적기업·협동조합 등 사회연대경제조직 대상,Y
hyeoksin-jolup,혁신성장촉진자금(소상공인졸업후보),소상공인시장진흥공단,직접대출,졸업후보,,,,상시,2026-01-12,접수 중·예산 소진시 마감,최신 공고 확인 필요,https://ols.sbiz.or.kr,2026-08-30,소상공인 규모를 졸업하는 성장 단계 기업 대상,Y
