재단ID,재단명,지역(시도),홈페이지 링크,한 줄 메모,최종 확인일,사이트 공개
jaedan-seoul,서울신용보증재단,서울,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-busan,부산신용보증재단,부산,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-daegu,대구신용보증재단,대구,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-incheon,인천신용보증재단,인천,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-gwangju,광주신용보증재단,광주,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-daejeon,대전신용보증재단,대전,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-ulsan,울산신용보증재단,울산,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-sejong,세종신용보증재단,세종,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-gyeonggi,경기신용보증재단,경기,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-gangwon,강원신용보증재단,강원,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-chungbuk,충북신용보증재단,충북,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-chungnam,충남신용보증재단,충남,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-jeonbuk,전북신용보증재단,전북,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-jeonnam,전남신용보증재단,전남,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-gyeongbuk,경북신용보증재단,경북,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-gyeongnam,경남신용보증재단,경남,https://www.koreg.or.kr,,2026-08-30,Y
jaedan-jeju,제주신용보증재단,제주,https://www.koreg.or.kr,,2026-08-30,Y
