# Google Search Console · 속성 https://bmaker.kr/ · 웹 검색 · 2026-08-21~2026-09-17(28일) · 수집 2026-09-20 · 총 72행
page	clicks	impressions	ctr	position
/jaedojeon	12	438	2.7%	7.1
/hyeoksin	8	279	2.9%	5.9
/	7	109	6.4%	5.8
/cheongnyeon	5	460	1.1%	7.3
/bojeung	5	291	1.7%	7.9
/daehwan	5	76	6.6%	6.8
/consulting	5	59	8.5%	6.2
/hyeoksin-jolup	4	72	5.6%	5.2
/sogongin	3	126	2.4%	6.5
/schedule	2	273	0.7%	6.5
/sojingong	2	213	0.9%	8.3
/jaedan-daegu	2	95	2.1%	6.4
/jangaein	2	95	2.1%	6.6
/ilsijeok	2	88	2.3%	7.3
/gaein	2	76	2.6%	9.4
/gingeup	2	61	3.3%	7.4
/funding	2	38	5.3%	6.1
/geojeol	2	31	6.5%	4.3
/jaedan-jeonbuk	2	26	7.7%	4.7
/jaedan-jeju	2	23	8.7%	7.5
/jaedan-jeonnam	2	16	12.5%	5.2
/jaedan-seoul	1	201	0.5%	7.0
/jungjingong	1	177	0.6%	6.2
/sanghwan	1	45	2.2%	5.6
/gibo	1	43	2.3%	9.3
/ilban-gyeongyeong	1	39	2.6%	7.1
/ilsijeok-homeplus	1	31	3.2%	5.3
/hyeoksin-sahoe	1	29	3.4%	4.7
/jaedan-chungnam	1	25	4%	5.7
/jaedan-sejong	1	20	5%	6.9
/3?qvac=fV2l9e	1	17	5.9%	2.1
/viral-marketing-guide	1	17	5.9%	8.6
/education	1	10	10%	4.8
/certification	1	9	11.1%	7.3
/certification.html	1	6	16.7%	5.2
/cases	0	204	0%	6.3
/jaedan-gyeonggi	0	93	0%	7.0
/sangsaeng	0	75	0%	6.2
/blog-marketing-cost	0	68	0%	7.1
/jaedan-incheon	0	65	0%	6.5
/sinbo	0	62	0%	8.1
/matching	0	47	0%	5.4
/jeosinyong	0	47	0%	6.3
/jaedan	0	38	0%	8.9
/jaedan-ulsan	0	33	0%	5.6
/gyehoekseo	0	33	0%	8.8
/jaedan-gangwon	0	30	0%	6.6
/chaksugeum	0	24	0%	5.1
/jaedan-gwangju	0	23	0%	6.1
/startup-consulting-cost	0	20	0%	7.3
/about	0	15	0%	1.9
/startup	0	15	0%	14.5
/jaedan-busan	0	14	0%	8.9
/portfolio	0	11	0%	2.6
/business-guide	0	10	0%	2.8
/work	0	10	0%	7.7
/stats	0	9	0%	9.3
/jaedan-gyeongbuk	0	8	0%	6.3
/jaedan-chungbuk	0	8	0%	6.4
/bojeung.html	0	7	0%	7.1
/jungjingong.html	0	7	0%	10.4
/6	0	6	0%	5.3
/online-ad-guide	0	6	0%	7.2
/marketing	0	4	0%	3.0
/education-program	0	4	0%	8.8
/jaedan-gyeongnam	0	3	0%	5.3
/8	0	3	0%	6.0
/jaedan-daejeon	0	3	0%	6.0
/7	0	2	0%	6.0
/11	0	1	0%	3.0
/sojingong.html	0	1	0%	9.0
/9	0	1	0%	10.0
