# Google Search Console · 속성 https://bmaker.kr/ · 웹 검색 · 2026-08-21~2026-09-17(28일) · 수집 2026-09-20 · 총 118행
# 총계 클릭 92 · 노출 4,430(화면 4.43천) · CTR 2.1% · 평균순위 6.9 — 아래 118행 합계는 총계보다 작다(익명화 검색어 제외)
query	clicks	impressions	ctr	position
혁신성장촉진자금	5	94	5.3%	5.0
재도전특별자금	4	80	5%	7.7
청년고용연계자금	2	186	1.1%	8.4
소공인특화자금	2	60	3.3%	7.1
보증서 대출	2	7	28.6%	6.9
신용보증기금 대출	1	24	4.2%	7.5
청년고용연계자금 대출	1	21	4.8%	10.2
청년고용연계자금 2026	1	15	6.7%	4.3
2026 소상공인 대환대출	1	12	8.3%	5.8
소상공인 졸업후보기업	1	8	12.5%	3.9
일반경영안정자금 2026	1	6	16.7%	4.2
소상공인 정책자금 대출	1	2	50%	25.5
서울신용보증재단 사업자 대출	0	29	0%	6.5
상생성장지원자금	0	23	0%	7.3
혁신성장촉진자금 2026	0	22	0%	5.6
장애인기업지원자금	0	18	0%	6.6
소상공인 혁신성장촉진자금	0	13	0%	4.7
서울신용보증재단 대출	0	13	0%	9.2
소상공인 청년고용연계자금	0	12	0%	7.9
소진공 직접대출	0	12	0%	7.9
일시적경영애로자금	0	11	0%	10.3
블로그마케팅비용	0	10	0%	5.8
보증서대출	0	10	0%	7.0
서울신용보증재단 소상공인 대출	0	10	0%	8.0
소상공인 재도전특별자금	0	10	0%	8.0
보증재단 사업자대출	0	10	0%	8.8
긴급경영안정자금	0	10	0%	9.3
소공인 특화자금	0	9	0%	8.8
블로그마케팅가격	0	8	0%	5.6
경기신용보증재단 사업자 대출	0	8	0%	7.0
재도전 특별자금	0	8	0%	7.5
재도전특별자금 2026	0	7	0%	4.7
성장촉진자금	0	7	0%	5.9
블로그홍보비용	0	6	0%	6.0
마케팅견적	0	6	0%	6.2
인천신용보증재단 대출 후기	0	6	0%	6.8
기술보증기금 대출	0	6	0%	11.0
신용보증재단 사업자대출	0	6	0%	12.0
소상공인졸업후보기업	0	5	0%	2.8
신용보증기금 보증서	0	5	0%	9.0
+동네 음식점 카페 소매점 사장님이 신청할 수 있는 소상공인 정책자금 대출 공고 대상 조건 접수 일정	0	5	0%	9.4
정책자금 대출 상담은 어디서 받아?	0	5	0%	9.8
청년고용연계자금 디시	0	4	0%	5.0
일시적경영애로	0	4	0%	6.2
블로그광고가격	0	4	0%	8.0
일시적 경영애로자금	0	4	0%	9.0
소진공 청년고용연계자금	0	4	0%	9.8
"신용취약소상공인자금" "2026"	0	3	0%	7.3
소상공인 재도전 특별자금	0	3	0%	9.3
신보 대출	0	3	0%	9.7
경기신용보증재단 소상공인 대출	0	3	0%	11.0
블로그홍보가격	0	3	0%	11.0
소상공인 직접대출	0	3	0%	12.0
신용보증기금 기술보증기금 차이	0	3	0%	15.3
bmaker	0	2	0%	1.0
자금용도계획서	0	2	0%	2.5
"2026년 8월" "신용취약소상공인자금"	0	2	0%	3.5
경영애로자금	0	2	0%	9.0
"재도전특별자금" "9월" "2026"	0	2	0%	9.5
바이럴 효과	0	2	0%	9.5
신용보증기금 사업자대출	0	2	0%	9.5
부산 소상공인 대출	0	2	0%	10.0
신용보증기금 보증으로 사업자대출 되는 곳 있어?	0	2	0%	10.0
청년고용연계자금 신청	0	2	0%	10.0
신용보증기금 신용보증재단 차이	0	2	0%	12.5
